artist_name,album_name,track_name,duration_ms,explicit,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,album_genres,album_type,album_popularity,release_date,release_date_precision
-M-,Manitoumani - Single,Manitoumani,,,,,,,,,,,,,,,,,,,,,,
070 Shake,Guilty Conscience,Guilty Conscience - Tame Impala Remix,214986.0,False,61.0,0.415,0.878,1.0,-3.65,0.0,0.32,0.0564,0.00348,0.222,0.309,191.777,4.0,alternative r&b; new jersey rap,66.0,,single,58.0,2020-07-24,day
100 gecs,1000 gecs,hand crushed by a mallet,126616.0,True,65.0,0.659,0.473,1.0,-7.306,0.0,0.125,0.274,0.0,0.28,0.7879999999999999,84.505,4.0,glitchcore; hyperpop,70.0,,album,74.0,2019-05-31,day
100 gecs,1000 gecs,money machine,114460.0,True,70.0,0.68,0.659,6.0,-7.186,1.0,0.151,0.229,0.0,0.474,0.75,98.877,4.0,glitchcore; hyperpop,70.0,,album,74.0,2019-05-31,day
100 gecs,1000 gecs and The Tree of Clues,"hand crushed by a mallet (Remix) [feat. Fall Out Boy, Craig Owens, Nicole Dollanganger]",175699.0,True,55.0,0.473,0.936,1.0,-2.441,0.0,0.408,0.0335,1.35e-05,0.607,0.545,173.53,4.0,glitchcore; hyperpop,70.0,,album,65.0,2020-07-10,day
100 gecs,1000 gecs and The Tree of Clues,money machine - A.G. Cook Remix,192338.0,True,43.0,0.344,0.737,6.0,-4.7810000000000015,1.0,0.237,0.442,1.05e-05,0.0693,0.623,131.745,1.0,glitchcore; hyperpop,70.0,,album,65.0,2020-07-10,day
104 Days.,The Procrastinated Tape,Bubble,128008.0,False,26.0,0.737,0.229,5.0,-17.715999999999994,1.0,0.0607,0.0373,0.76,0.103,0.173,150.047,4.0,,31.0,,album,39.0,2020-07-04,day
104 Days.,The Procrastinated Tape,Neglected Thoughts,198631.0,False,24.0,0.733,0.103,10.0,-21.453000000000007,1.0,0.0519,0.924,0.942,0.0777,0.127,116.043,4.0,,31.0,,album,39.0,2020-07-04,day
104 Days.,The Procrastinated Tape,No,144007.0,False,28.0,0.675,0.206,5.0,-22.389,1.0,0.222,0.6559999999999999,0.8140000000000001,0.0918,0.7929999999999999,160.046,4.0,,31.0,,album,39.0,2020-07-04,day
104 Days.,The Procrastinated Tape,No Fuel,157816.0,False,25.0,0.454,0.139,5.0,-20.63,1.0,0.105,0.8220000000000001,0.902,0.0798,0.0373,73.098,4.0,,31.0,,album,39.0,2020-07-04,day
104 Days.,The Procrastinated Tape,Nothing,144007.0,False,28.0,0.675,0.206,5.0,-22.389,1.0,0.222,0.6559999999999999,0.8140000000000001,0.0918,0.7929999999999999,160.046,4.0,,31.0,,album,39.0,2020-07-04,day
104 Days.,The Procrastinated Tape,Overthinking,148741.0,False,28.0,0.75,0.0235,5.0,-24.08,1.0,0.0844,0.8290000000000001,0.812,0.111,0.423,142.101,4.0,,31.0,,album,39.0,2020-07-04,day
104 Days.,The Procrastinated Tape,Scrolling,155684.0,False,25.0,0.779,0.0409,2.0,-21.176,1.0,0.0471,0.856,0.953,0.0898,0.039,74.009,4.0,,31.0,,album,39.0,2020-07-04,day
104 Days.,The Procrastinated Tape,Tomorrow,153608.0,False,27.0,0.446,0.0829,4.0,-25.273000000000003,1.0,0.173,0.873,0.907,0.0901,0.0869,149.189,4.0,,31.0,,album,39.0,2020-07-04,day
104 Days.,The Procrastinated Tape,Wait,142711.0,False,22.0,0.5489999999999999,0.284,1.0,-17.202,0.0,0.331,0.967,0.913,0.0898,0.0336,139.392,4.0,,31.0,,album,39.0,2020-07-04,day
104 Days.,The Procrastinated Tape,Zoned Out,160010.0,False,22.0,0.515,0.067,0.0,-24.845,1.0,0.0626,0.972,0.887,0.0937,0.202,104.435,1.0,,31.0,,album,39.0,2020-07-04,day
12th Planet,Disciple Alliance Vol. 5,We Don't Play,298400.0,False,47.0,0.5920000000000001,0.937,11.0,-5.4529999999999985,0.0,0.158,0.00418,7.58e-06,0.406,0.339,150.096,4.0,brostep; dubstep; edm; electro house; electronic trap; filthstep; gaming dubstep,50.0,,album,46.0,2019-09-04,day
3LAU,At Night (with GRABBITZ),At Night (with GRABBITZ),220645.0,False,52.0,0.672,0.866,2.0,-5.646,1.0,0.044,0.006529999999999999,0.00823,0.189,0.354,124.014,4.0,edm; electro house; electronic trap; electropop; mashup; pop dance; pop edm; progressive electro house; progressive house; tropical house,64.0,,single,50.0,2020-02-14,day
3LAU,Down For Life,Down For Life,193888.0,False,42.0,0.609,0.845,5.0,-5.517,0.0,0.0537,0.0207,0.0,0.273,0.128,107.979,4.0,edm; electro house; electronic trap; electropop; mashup; pop dance; pop edm; progressive electro house; progressive house; tropical house,64.0,,single,39.0,2019-06-21,day
3rd Prototype,House,House,200639.0,False,29.0,0.677,0.984,11.0,-5.9860000000000015,0.0,0.0775,0.00575,0.411,0.0877,0.594,127.995,4.0,gaming edm,46.0,,single,27.0,2017-09-09,day
44 Ardent,Fading 22,Fading 22,163329.0,False,32.0,0.662,0.52,1.0,-9.405,0.0,0.0338,0.691,0.903,0.108,0.336,119.009,4.0,,21.0,,single,29.0,2018-11-14,day
4AM,City of Love (feat. Trove),City of Love,219618.0,False,20.0,0.532,0.5920000000000001,11.0,-7.652,0.0,0.045,0.03,8.34e-06,0.39,0.311,100.019,4.0,,22.0,,single,17.0,2017-09-01,day
645AR,4 Da Trap,4 Da Trap,96000.0,True,44.0,0.685,0.593,0.0,-7.932,1.0,0.0633,0.51,1.87e-06,0.159,0.362,142.19299999999996,4.0,,47.0,,single,41.0,2020-01-17,day
88rising,Head In The Clouds,History,207307.0,True,64.0,0.5539999999999999,0.589,3.0,-8.163,0.0,0.231,0.613,0.000257,0.0982,0.414,74.982,4.0,asian american hip hop; pop,72.0,,album,74.0,2018-07-20,day
88rising,Just Used Music Again,Just Used Music Again,211301.0,False,27.0,0.7609999999999999,0.747,0.0,-6.888,1.0,0.252,0.00565,0.00374,0.16399999999999998,0.585,122.974,4.0,asian american hip hop; pop,72.0,,single,24.0,2019-09-04,day
9 Theory,Against the Odds of Entropy,At Home in the Dark,372058.0,False,32.0,0.636,0.47,1.0,-10.662,1.0,0.105,0.35200000000000004,0.733,0.105,0.173,102.016,4.0,,47.0,,album,32.0,2015-08-17,day
90sFlav,Collection,Call me,126250.0,False,68.0,0.748,0.265,8.0,-12.074000000000002,0.0,0.229,0.952,0.917,0.0866,0.14,77.009,4.0,lo-fi beats,60.0,,album,67.0,2018-02-09,day
A Beacon School,Cola,Algernon,253277.0,False,40.0,0.491,0.669,1.0,-7.239,1.0,0.0276,0.00118,0.838,0.282,0.261,113.053,4.0,brooklyn indie,42.0,,album,51.0,2019-06-14,day
A Great Big Pile of Leaves,Have You Seen My Prefrontal Cortex?,Vampires In Love,222708.0,False,38.0,0.615,0.76,7.0,-5.602,1.0,0.0384,0.26,2.71e-05,0.123,0.623,142.987,4.0,alternative emo; brooklyn indie; dreamo; emo,39.0,,album,44.0,2010-06-22,day
